Tweet_Text,User_Name,Screen_Name,Location,Country,Description,Followers_Count,Friends_Count,Verified_Account,Tweet_Created_At
"RT @physicspolitics: What effects does climate change on rainfall? #ClimateChange

âŒThe rain that falls is warmerÂ 

âœ…In some places rainfalâ€¦","WeAreTheFuture, Level 1 â™£â™ ",physicspolitics,,,"Philosophy ðŸŽ“ A new Future, that starts Now ðŸ‘‘ Perrie ðŸ‘‘ Unfollow=Unfollow #Politics #ClimateChange",28009,18027,,12/1/19 20:34
"RT @martinrev21: We have known this was going to happen for decades.

We were warned, but did nothing.

Now we watch on in horror, 

... anâ€¦",Pamela Spence,starppael,"Adelaide, South Australia",Australia,"love my garden , family and magpies ( birds not AFL team) True believer . expect good governance from our political leaders . Media need to inform the public",290,199,,12/1/19 20:34
RT @Spertus: .@Spertus announces the topic for 2020's Critical Conversations: Responses to #ClimateChange. Activists &amp; experts will debateâ€¦,Shalom Klein,ShalomKlein,"Skokie, IL",United States,"U.S. Army Officer, radio host and non-profit guru.
Avid networker, entrepreneur and media guy.",2157,987,,12/1/19 20:33
RT @samcossar: Every time a politcian says there is not enough money pay for ðŸ’¯Ã· #RenewableEnergy  and takle #climatechange we should call bâ€¦,Melanie,sydneygrrl,Sydney,Australia,Sydney 'burbs Mum to 3. Small biz family. I believe in a fair & equal society. This bothers my fellow Australians who refuse to vote for it ðŸ¤·ðŸ»â€â™€ï¸,1179,1900,,12/1/19 20:33
This Electric Bus Shattered Range Anxiety 1100Miles (1770KM) on 1 Charge https://t.co/lkpsCvmPgi #EV #cleantechâ€¦ https://t.co/IUadWJn9Dk,#TechinBiz,tecnbiz,Global,,Helping the Business Community to use technology to increase efficiency and Productivity. #Tech #Business #Innovation,73253,14166,,12/1/19 20:33
RT @AaronDodd: â€˜War against nature must stopâ€™: UN chief | The New Daily #auspol #climatechange https://t.co/VoaqyZAyaq,Tweety 'people over profits' Bird,devalara44,australia,Australia,"Political tragic, Ex Federal Ministerial and Opposition ALP Staffer (12yrs) Social Worker, proud Irish-Australian, ten pound paddy. Fight until you win.",4043,2666,,12/1/19 20:33
RT @BBCScienceNews: Climate Change: â¦Massiveâ© Attack working with scientists to remove carbon emissions from concerts and touring. Researchâ€¦,Grant Bess,GrantBess3,,,,2,14,,12/1/19 20:33
Can we stop going on about #ClimateChange and focus more on #plasticpollution &amp; #LossofHabitat both of which are obâ€¦ https://t.co/VFj9A3nVk3,Philip Robinson Esq.,philip_esq,United Kingdom,United Kingdom,"FOR British Republic, democracy, Brexit, freedom. #StoptheLicenseFee #BritishIndependence #FreeAidanJames",164,312,,12/1/19 20:33
"RT @UNDPClimate: Tomorrow nearly 200 nations will meet in Madrid for the @UN #ClimateChange conference, #COP25. With climate impacts more eâ€¦",nomoreslaves,nomoreslaves,"Berlin, Germany",Germany,#humanrights #education #freedom #peace Free your mind!,15580,17106,,12/1/19 20:33
"RT @martinrev21: We have known this was going to happen for decades.

We were warned, but did nothing.

Now we watch on in horror, 

... anâ€¦",Kathy,TAFEdefender,,,Education is the Answer. The views expressed are personal,2274,2544,,12/1/19 20:33
RT @RobertKennedyJr: #Exxon says it believes â€œthe risk of #climatechange is real.â€ But why then is the oil giant still financing advocacy gâ€¦,#WomenForBernie #NotMeUs #ResidueForBernie â³,RobertaAAvery,United States,United States,"â³ðŸ±ðŸ‘©ðŸ» #ProgressiveWave   
Injustice anywhere is a threat to justice everywhere

#NotMeUS

#Medicare4All
#NoMoreWarsðŸŒŽðŸŒðŸŒ",647,292,,12/1/19 20:33
"RT @martinrev21: We have known this was going to happen for decades.

We were warned, but did nothing.

Now we watch on in horror, 

... anâ€¦",Robbie Johnson,potcalling,"Police Point, Tasmania",Australia,"Retired ditherer, Sthn Tasmania, wolf Magnus & hound Winston. Sally Wolf sadly taken by Jimmy Dancer. Dithering less, swearing more, as politicians get worse",2479,2578,,12/1/19 20:33
RT @G_OCeans: Bravo #Madrid! #COP25 is about to start. Let's not forget that #oceans represent our best asset to fight #ClimateChange. Ourâ€¦,Global Ocean Trust,goceantrust,"Berlin, Germany",Germany,A team of experts promoting ocean solutions through partnerships and innovative finance.,4587,4355,,12/1/19 20:33
RT @UNICEF: Thousands of children like this boy in Mozambique are put in danger and miss out on school every year due to #ClimateChange relâ€¦,Frederico Ferreira,fbruno69,"Europa, BÃ©lgica, Bruxelas",Belgium,I published â€œWhy Iâ€™m buying a Oneplus 5â€ on @Medium https://t.co/YXxOMG7kap,269,356,,12/1/19 20:33
RT @AllanMargolin: As Christmas Gets Closer Santa's Tired Of Hearing People Claim The 'Jury's Still Out' On #ClimateChange' - Aren't You?â€¦,David Trucks,dave_sailing,American,United States,"Disabled. Love All Animals, except the GOP. Save the earth, we will all be part of it one day. Help the homeless. #BlueTsunami2020",1215,1898,,12/1/19 20:33
"RT @robabdul: Sir David Attenborough speaks about #ClimateChange and #ClimateEmergency

https://t.co/aaEgRojxJu anyone listening to this atâ€¦",SteMclaret59,mclaret59,"Lancashire, England",United Kingdom,"Got to live, trying to understand my place in this world........",165,727,,12/1/19 20:32
"RT @robabdul: IMPRESSIVE: 17 year old's point of view

He feels that his views do not count. I promised to post this online &amp; I assured himâ€¦",Joe Jenkins,JoeJenk84941152,,,"Please do not judge me before you know me but to save you time, you wonâ€™t like me if you vote Tory.",937,2452,,12/1/19 20:32
"RT @DanyalGilani: Thatâ€™s how much ice has been lost at the Arctic in last 100 years. #ClimateChange 
#100YearChallenge #December1st #Sundayâ€¦",JFS,JoseFSa55876365,"Texas, USA",United States,"My name is JFS and welcome everyone. This is where I will be posting stuff for my youtube channel, any news, and yes plenty of fluffy animals.",613,746,,12/1/19 20:32
"RT @FeistyLibLady: No matter our age #ClimateChange affects us!

Jane Fonda 82 and Iain Armitage 11 crossed generations to protest #Climateâ€¦",SlÃ inte â˜˜ï¸,1stSvelteCelt,"Gainesville, FL",United States,â€œwhatcha doinâ€™ Mr. Man? You ainâ€™t leaving much for us to call tomorrow. â€œ                      Born Blue (and â˜˜ï¸) ðŸ¦…ðŸŒŠ,8828,8603,,12/1/19 20:32
RT @PaulEDawson: â€œThe unexpected and sustained current rise in methane may so greatly overwhelm all progress from other reduction efforts tâ€¦,Neeshad Shafi,ineeshadvs,"Doha, Qatar",Qatar,Youth Climate Advocate | Speaker | Co-Founder @aycmqa | @OneYoungWorld | @earthhour Qatar | @YouthClimateLab | @CAN_ArabWorld | @CoalitionWILD| @GlobalShapers |,3955,465,,12/1/19 20:32
"RT @robabdul: IMPRESSIVE: 17 year old's point of view

He feels that his views do not count. I promised to post this online &amp; I assured himâ€¦",Dr Louise Raw,LouiseRawAuthor,United Kingdom,United Kingdom,"Historian, writer. BBC Radio London #LondonLives. Book 'Striking a Light' Runs #Matchfest,next 27/6/20. Agent https://t.co/2f61tryayI. Photos Â©Jo Holland",21673,7754,,12/1/19 20:32
@dominucco @ChrisLAS @wespayne @cityofcalgary but yes a storm is coming some point &amp; usually by this time its coldeâ€¦ https://t.co/qLKyeatuHx,Tim Postma,TimPatAlPostma,From southwestern Ontario Canada,Canada,"collect interestn stuff,a advocate for tech especially 3DPrinting,always am creative but not interested in twitter romance&plz no provocative stuff)",4205,4594,,12/1/19 20:32
RT @samcossar: Every time a politcian says there is not enough money pay for ðŸ’¯Ã· #RenewableEnergy  and takle #climatechange we should call bâ€¦,Janet M ðŸ‡®ðŸ‡ªðŸ‡¦ðŸ‡º,cinderella_oz,"Sydney, Australia",Australia,"Traveller, feminist, mum to Student & Teen, lefty leaning, Irish ex-pat. Usual pedestrian disclaimer that all views here are strictly personal.",1685,1761,,12/1/19 20:32
RT @airnewsalerts: A new team of leaders took office at the helm of the European Union. They took pledge to put the fight against #ClimateCâ€¦,Bikram Kumar Sinha - à¤µà¤¿à¤•à¥à¤°à¤® à¤•à¥à¤®à¤¾à¤° à¤¸à¤¿à¤¨à¥à¤¹à¤¾,bikramksinha,"Varanasi, India",India,"Media Coordinator, social media activist, Secretary Myurakshi Ngo, Santhal pragna pramukh Sahkar Bharty jharkhand, Poet and Writer",929,2365,,12/1/19 20:32
RT @UNDPClimate: How can we multiply the benefits of #ClimateChange adaptation? @ClimateHome looks at Ethiopia &amp; Samoa as examples where adâ€¦,Paola Bustillos,PBustillosc,,,Climate Change specialist,83,213,,12/1/19 20:32
"RT @askboomer1949: If you want to counter the greedy #corporatist and #ChristianDominionist lies and propaganda,
Please Read This and Passâ€¦",John MðŸ‘,JMcNChicago,"Downers Grove, IL",United States,My short stories have been published in several literary magazines. #feminist #liberal #atheist #SJW Proud husband. NO LISTS PLEASE.,4577,4602,,12/1/19 20:32
"RT @NamugerwaLeah: East Africa is my region.
Watch how floods are affecting us.
Floods  are adding on other extreme weather events that havâ€¦",Renison Pereira #TimesUpIndia,Renison007,"Vasai, India",India,"#Ahmedabad born #Vasai bred, lived @Melbourne for 5.7yrs. #Catholic #ClimateAction #Feminist #Liberal #Socialist #Rebel #TaggingOCD #HakunaMatata! O+BloodDonor.",586,3342,,12/1/19 20:32
"RT @PaulEDawson: 58.4 % of all new cars sold in Norway in March were fully electric!

In June it was 57.8%

In October 58.3%

This is partâ€¦",JohnP,JohnP1752,,,"Justice, People's Rights, Free Speech, Rule of Law, Against Neo Liberalism and Climate Change Deniers.",1603,1215,,12/1/19 20:32
"RT @ProfStrachan: Tipping points

*Arctic sea ice
*Greenland ice sheet
*Boreal forests
*Permafrost
*Atlantic Meridional Overturning Circulaâ€¦",(((Doro BÃ¶hm))),doroboehm,Bielefeld,Germany,"Arzt, AD(H)S-Coach, Verhaltensmanagement-Coaching, SAFE-Training",830,2045,,12/1/19 20:32
"I just talked to a young family man mid 30's, wife and 4 kids 3-9ish...last day on the job is Dec 31. He's asking 'â€¦ https://t.co/s57UhzGSsW",Chad W Congo,ChadCongo,"Calgary, Alberta",Canada,"Christian, Canadian, Conservative, white, male, red blooded all round average dude born 'n' bred in Alberta. Support https://t.co/6oJx7ZLIPZ",291,782,,12/1/19 20:31
RT @INTEGRITYBC: Remote B.C. school gets most of its power from $450K solar energy system | CBC News https://t.co/UfZFVz8xD3 #bcpoli #vanpoâ€¦,ðŸŒ¿Kimberly PetersðŸŠ,savoirfaire_2,Abbotsford BC Canada,Canada,ðŸŽ¶ðŸ’“ #CanucksðŸðŸ³ #PensðŸ§#KnightsðŸðŸŒ¸ðŸ’ª #BCLionsðŸˆ   #CaptivityKills #Blackfish #SRKW ðŸ¬ ðŸ¦ŒðŸ¦“ðŸºðŸ»ðŸ˜ðŸ¦’ðŸ¦ #BanTrophyHunting  #NoTMX #GreenNewDealðŸŠ,540,968,,12/1/19 20:31
RT @coolrunning2009: @simonahac @PatConroy1 Yes @simonahac it should be brought to everyoneâ€™s attention that inability of @greens to comproâ€¦,Richard Yabsley,RichardYabsley,,,"A product of Gough Whitlam's free education reform,married to a warm soul,father to 4 loving sons and grandfather to six wonderful little humans!",2611,4499,,12/1/19 20:31
"RT @UNDPClimate: Tomorrow nearly 200 nations will meet in Madrid for the @UN #ClimateChange conference, #COP25. With climate impacts more eâ€¦",Paola Bustillos,PBustillosc,,,Climate Change specialist,83,213,,12/1/19 20:31
"RT @HenryK_B_: ""New test reveals electric cars are practically unusable in winter""
https://t.co/Yg3KYbXD8D
#GreenNewDeal #climate #ClimateCâ€¦",Andrea,Eco1stArt,USA,United States,"Featuring the most stunning eco friendly items on the planet: fine art, furniture, jewelry & apparel.Connecting ecological & innovative artists worldwide.",1101,631,,12/1/19 20:31
"RT @CarbonBubble: Mark Carney: #COP26 UN climate change conference ""provides a platform to bring risks from #ClimateChange &amp; the opportunitâ€¦",Charlotte Gardes,Charlotte_Grds,Paris,France,"Sustainable finance & climate risk @DGTresorðŸŒ±â€¢ PhD cand. economics â€¢ Ex @AMF_actu â€¢ Analyst @bsi_economics/@FIR_FrenchSIF â€¢
ðŸ‘©â€ðŸŽ“ @SciencesPo & @SorbonneParis1",464,998,,12/1/19 20:31
RT @AllanMargolin: Australia Aflame: 'Too late to leave': #ClimateChange driven S. Coast bushfire burns out of control https://t.co/HquRjGxâ€¦,Edith McDonald,LoveNOLA4ever,New Orleans ,United States,"New Orleans strong, and will always be proud to call it home. Trying to make a positive change in this world, step by step, one minute at a time.",4955,5327,,12/1/19 20:31
A new team of leaders took office at the helm of the European Union. They took pledge to put the fight againstâ€¦ https://t.co/wUD9rYDLKz,All India Radio News,airnewsalerts,"New Delhi, India",India,"Official account of News Services Division, All India Radio.

à¤¹à¤¿à¤‚à¤¦à¥€ à¤•à¥‡ à¤¸à¤®à¤¾à¤šà¤¾à¤°à¥‹à¤‚ à¤•à¥‡ à¤²à¤¿à¤ @AIRNewsHindi à¤•à¥‹ à¤«à¥‰à¤²à¥‹ à¤•à¤°à¥‡à¤‚!",2181822,13,TRUE,12/1/19 20:31
"RT @GrrlScientist: Population Decline Has #Hawaiiâ€™s Songbirds Singing The Same Tune, about a study by team based at @UHHilo &amp; published byâ€¦",ð“ð¡ðžð«ðž ð¢ð¬ ð§ð¨ â€œðð¥ðšð§ðžð­ ðâ€ (â§–),GrrlScientist,"40.7619, -73.9763",United States,"evolutionary ecologist & ornithologist writes science @Forbes & @Medium. Also @BCI_journal @BirdNoteRadio & more. Formerly @Guardian. Always: Ravenclaw, heretic",25527,685,TRUE,12/1/19 20:30
"RT @WMO: ""The last 5 years have been the hottest ever recorded. Sea levels are the highest in human history. Ice caps are melting at unprecâ€¦",ðŸ‘» Lars Hansen,lhansen0,,,"Not a trader, Not a weak long, Buy and hold $TSLA ðŸ‚

Team Tesla",597,801,,12/1/19 20:30
RT @NickKukoz: Watch till the end. I synced the AGU visualization model of the age of Arctic sea ice with data of Global temperature from tâ€¦,Mally,NeurodiverseMal,"Cramlington, England",United Kingdom,"Artist, guitarist, Vegan, urbexer, lesbian, classic dc harley quinn fan, cat mum, 
Avid Gamer ps4: missinkaddikt

She/her

#NeuroLurker #ActuallyAutistic",125,251,,12/1/19 20:30
"RT @dodona777: @MichaelSpring17 Look, he's a Pentecostal. This means he believes in the Rapture &amp; in the End Times. This means that #Climatâ€¦",ðŸ’§Morpheus,MorpheusBeing,Gaia.,,"Blessed are the cracked for they let the light shine in.  
DM for ToxID.

#PlanetProtector. Waayamaa wanda.",3778,4138,,12/1/19 20:30
RT @BiologistDan: Take 1:30 minutes out of your life and watch the Arctic Sea ice disappear over the last 35 years. This is #ClimateChange.â€¦,HellcatðŸ¦‡Lissa,HellcatLissa,"Den of Dumbfuckery, GA",,She/Her. Mom. Ginger. Pagan. Resister. ðŸŒˆ Ally. Animal Lover. Survivor. INFJ. Ravenclaw. Forever Rebel Scum. #SaveFlintChallenge ðŸ’œ#KHiveðŸ’›,4282,5000,,12/1/19 20:30
