Tweet_Text,User_Name,Screen_Name,Country,Description,Followers_Count,Friends_Count,Verified_Account,Tweet_Created_At
RT @BiologistDan: Take 1:30 minutes out of your life and watch the Arctic Sea ice disappear over the last 35 years. This is #ClimateChange.â€¦,Leonardo,dandarillo,United States,"We're not destroying our planet, we're destroying ourselves. If you care for yourself please save our planet #TheResistance #Resist #ImpeachTrumpNow",1771,1503,FALSE,12/1/2019 19:37
"RT @PaulEDawson: 58.4 % of all new cars sold in Norway in March were fully electric!

In June it was 57.8%

In October 58.3%

This is partâ€¦",Torben Henriksen,HenriksenT,Denmark,"Ex. CEO/chairman in European companies. Interested in international politics, new energy and finance. And trying to keep a good balance of common sense in life.",396,772,FALSE,12/1/2019 19:37
RT @LeonidWisdom: The number of #DemocraticParty candidates that talk about the importance of working with the #Republicans on #ClimateChanâ€¦,Constituent ðŸŒº,808constituent,United States,"#UsusualAmerican for â˜®ï¸
Follows / RT's maybe in agreement or disagreement, no endorsement is implied.
Opinions stated are mine.",3155,3934,FALSE,12/1/2019 19:37
"RT @KiryeNet: In Tokyo, the mean temperature from September 1 to November 30 was 19.2â„ƒ.
There has been no warming trend since 1989 for autuâ€¦",EU MustBeJoking,EU_MustBeJoking,Scotland,"Freedom from the EU Dictatorship Think Free Trade. Scotland better off as part of UK, outside EUSSR ðŸ´ó §ó ¢ó ³ó £ó ´ó ¿ðŸ‡¬ðŸ‡§https://t.co/x9CRMRkUbk",143,220,FALSE,12/1/2019 19:37
"RT @NickKukoz: It doesnâ€™t matter whether you are a Democrat or a Republican, Muslim or Catholic, you can't be a human if you are indifferenâ€¦",inFamousResistsðŸ’™ðŸ†˜ðŸ’šðŸŒ¿,InfamousResists,United States,3.0 acct! #Activist #RESIST2020 Never #Trump Hate the #GOPSCUM Love CannabisðŸŒ¿and animalsðŸ¶Opinionated AF #Navydoc #science #FACTS #NOMaGats ðŸŒˆðŸ‘±ðŸ»â€â™€ï¸ #wtp2020,3032,3037,FALSE,12/1/2019 19:37
The latest Veritas Lex! https://t.co/LP67Xvaa24 #climatechange,JOHN E. MUDD,MUDDLAW,Puerto Rico,Dad | Husband | Attorney | Legal Analyst | Teller of Stories| Bread Baker | Statehood Supporter | PROMESA Expert|Contact info: https://t.co/lwgrpjxpqb,20094,1792,TRUE,12/1/2019 19:37
Planting Billions of Trees is the Best #ClimateChange Solution Available Today...https://t.co/6pE80N7HBrâ€¦ https://t.co/XFC1cQn9SB,JOYCE HEARD,iheardu2,United States,"Progressive Realist ~ Love politicsÂ°animalsÂ°musicÂ°natureÂ° climate activistÂ°
#Liars Dismiss Truth Prefers #Lies ~JoyceHeard. #OFA #UniteBlue  #BuyNoTwitterAccts",2018,1881,FALSE,12/1/2019 19:37
#EarthDay is Coming Fast! Get your Free flag with SteamDrills #5Star Inspiration https://t.co/CgVd9hySUCâ€¦ https://t.co/JBpOketSHA,Rivera Sun,RiveraSunAuthor,United States,"Red hair, friend of mystics, author 9 plays, 14 books, lives in an Earthship in desert, grows tomatoes, bakes bread, drinks tea, writes about love & revolution.",25779,26953,FALSE,12/1/2019 19:37
"RT @SaraCarterDC: While teen #environmentalist @GretaThunberg is sailing on a boat to #Spain from US

@SpeakerPelosi &amp; 14 other #Dems willâ€¦",Lesley Pix,LesleyPix,United Kingdom,"#Nature & #LandscapePhotography Interests #bnw, #macro, #aerial, architecture, sculpture, art, museums, meteorology, colour, wildlife, #quokka, #CalvinandHobbes",479,120,FALSE,12/1/2019 19:37
"RT @PEspinosaC: Less than a month after the decision to relocate #COP25 from Santiago to Madrid, we are now ready for the start of the #Cliâ€¦",Marco Pesce | #CircularEconomy,AskMarcoPesce,China,"Circular Economy | Corporate Sustainability
@CaFoscari Researcher and Lecturer, @ClimateReality Speaker, @GreenDrinks Guangzhou Co-organizer",825,172,FALSE,12/1/2019 19:36
"#SevenWorldsOnePlanet

Polar Bears hunting Beluga Whales has been known for a while. There are videos of it on YouTâ€¦ https://t.co/dBsOGFVLJy",Juxtaposed,Pappidoll,United Kingdom,Mission in life to ensure that other side of every argument gets a proper airing on Twitter.,95,17,FALSE,12/1/2019 19:36
"RT @UNFCCC: .@antonioguterres on his expectations for the @UN #ClimateChange Conference #COP25 in Madrid: ""I expect from the COP a clear deâ€¦",CRHNet,CRHNet,Canada,Canadian Risk and Hazards Network fostering knowledge sharing amongst risk management practitioners and researchers. Publisher for HazNet https://t.co/iVW6Vd7SgK,1041,978,FALSE,12/1/2019 19:36
"RT @NamugerwaLeah: East Africa is my region.
Watch how floods are affecting us.
Floods  are adding on other extreme weather events that havâ€¦",Roman Palacka,RomanPalacka,Czech Republic,"citizen, passionate golfers, asthmatic..",217,670,FALSE,12/1/2019 19:36
"RT @Greenpeace: Their country faces some of the most extreme weather from #ClimateChange, so Filipinos are seeking justice to hold pollutinâ€¦",Love trees,sausagezz,United Kingdom,Climate change activist,16,162,FALSE,12/1/2019 19:36
"RT @WBG_Climate: Climate adaptation can:
ðŸ‘«help improve lives
ðŸ“‰reduce poverty
ðŸŒprotect the environment
ðŸ’ªenhance resilience around the worldâ€¦",Niyanta ðŸŒ,niyantashetye,Germany,"Amateur photographer.ðŸ“·
Studying ðŸŽ“ Environmental and Resource Management @BTU_NEWS,
ex-Intern with the @UNU_FLORES and the @UNFCCC ðŸŒâ™»ï¸.
Views my ownâ€¼",562,2306,FALSE,12/1/2019 19:36
"RT @RebeccaH2020: Letâ€™s always choose love, empathy, and our shared humanity. ðŸ™
Thank you @Janefonda for uplifting how food justice and agrâ€¦",Jenifer Campbell,jmadcamp,United States,"Mother, wife, lover of dogs, flowers, art. Chronic illness warrior. #ClimateCrisis is our existential threat. #VoteBlueWave to save our democracy & the planet!",88,456,FALSE,12/1/2019 19:36
Soccer Canâ€™t Avoid #ClimateChange Forever - The New York Times https://t.co/hGGgAT748V,Earth Accounting,EarthAccounting,United States,Sustainable Consumption #sustainability #ConsciousConsumer #transparency #environment #socialjustice #circulareconomy,20519,19891,FALSE,12/1/2019 19:36
"RT @DanyalGilani: As Co2 reaches highest level in 3 million years, whales can help control global warming. 1 great whale absorbs 33,000 kgâ€¦",M.JawadUrRehman,Im_MJH,UAE,"Father of 2 cutest daughters ã€° Real Estate Professional ã€° Dreamer ã€° Achiever ã€° Admirer ã€° Love Cricket ã€° â™»ï¸ ã€° RT's aren't endorsements, ETC. #PTI",207,168,FALSE,12/1/2019 19:36
"RT @SaveAusNews: NEWS ALERT: #COP25, the UN Climate Change Conference, kicks off in Madrid today. Hear what Australian young people want toâ€¦",KG,kgardinerable,Australia,No Data Available,316,2028,FALSE,12/1/2019 19:35
RT @RichardMunang: If we do not value people especially the #youth we might not be able to drive inclusive growth under #ClimateChange. Letâ€¦,Dr. Richard Munang,RichardMunang,Kenya,@UNEP Innovation Award Winner; Book Author: Making #Africa Work through the Power of #innovativevolunteerism; OPINIONS are MINE and NOT my organization's,20192,22139,FALSE,12/1/2019 19:35
RT @NickKukoz: Watch till the end. I synced the AGU visualization model of the age of Arctic sea ice with data of Global temperature from tâ€¦,Luke Daniel Emerson,Luke_Emerson1,Australia,"Aspiring carnivore ecologist. Hoping to start PhD in 2020. Writing papers and working as an ecologist and research assistant, mostly on arboreal marsupials.",265,660,FALSE,12/1/2019 19:35
"RT @DeltaRichGreen: ""#UN Secretary-General #AntonioGuterres: worldâ€™s efforts to stop #ClimateChange have been â€œutterly inadequate"" so far &amp;â€¦",allan crawshaw,allan_crawshaw,Canada,"Senior Citizen, Humanist, Socialist, Anti-War, Anti-poverty, Environmentalist, Anti- Trump, Pro-Worker, Love the Arts, Charity, Civil Rights, Social Justice",3827,5002,FALSE,12/1/2019 19:34
If we are to tackle #climatechange should we really be cutting down trees for Christmas? I know theyâ€™re replanted bâ€¦ https://t.co/CRZTLRaxq5,Peter Ennis,Peter_Ennis,Ireland,Photographer & Qualified Panel Beater,88,312,FALSE,12/1/2019 19:34
Mark Carney to be UN envoy for #ClimateAction mobilising the financial world towards a #netzero carbon economyâ€¦ https://t.co/2LY27hot1r,Fiona Clouder,FionaClouder,United Kingdom,Former British Ambassador to Chile,3158,2140,TRUE,12/1/2019 19:34
"RT @presscoreca: Jesuits New World Order, wherein Jesuit Pope Francis is installed as autocratic World ruler is being attempted today underâ€¦",Deplorable Beaver,jody94476589,Canada,Conspiracy Factualist! Funny Human,927,1145,FALSE,12/1/2019 19:34
"RT @SuMoh7: @DemsWork4USA @spmaloney ðŸ”Re-ElectðŸŒŸSEAN PATRICK MALONEYðŸŒŸ#NY18

Regs
https://t.co/TL8RJb3pVV
https://t.co/YXkiRVul7U
ðŸŽ“
https://tâ€¦",Marie ðŸ†˜ðŸ—½ðŸŒŠ ðŸ¦… IMPEACH! INDICT!!,Merrirrro,United States,Happy to be Here ðŸŒŽ True Blue #VoteBlueToSaveAmerica #WinBlue2020 #GunReformNOW #AmericaUnited #TheResistance #DemsWork4USA #STILLWithHer @Supermajority NO DMs!,8707,7951,FALSE,12/1/2019 19:34
"@AndrewYang 
Visit us in #NewYork! We have some of the best #waterfalls and #volunteers in the country ðŸ¥°â€¦ https://t.co/zovD4Wrgl9",DigTheFalls,DigFalls,United States,"Co-authored 'Waterfalls of New York State'.
Only NY State waterfall survey/waterfall group active in area cleanups and restoration. 3,200 waterfalls strong!",127,320,FALSE,12/1/2019 19:34
"RT @ProfStrachan: Tipping points

*Arctic sea ice
*Greenland ice sheet
*Boreal forests
*Permafrost
*Atlantic Meridional Overturning Circulaâ€¦",Hazel McGee,hazelmcgee,United Kingdom,"Into astronomy, science stuff, gardening, birds, nature etc. Former Journal editor, sceptic & a bit of a cynic most of the time. Oh yes, and #JC4PM... NOW!",798,672,FALSE,12/1/2019 19:34
New EU leadership vows to fight #CLIMATE change https://t.co/x7JMldCTQr  #GlobalWarming #climatechange,GridPointWeather,gridpointwx,United States,Global Point Forecasting System,166,60,FALSE,12/1/2019 19:33
New EU leadership vows to fight #CLIMATE change https://t.co/Cqex49l4In #GPWX #GlobalWarming #climatechange,Tim Melino,TimMelino,United States,"Renewable Energy Meteorologist, interested in the #environment, #weather and #climate.  Check out: https://t.co/EZIu1X2L6A & Facebook: https://t.co/Ridbeg0K3b",11776,10109,FALSE,12/1/2019 19:33
"Honestly if we got rid of the annoying ass trolls from this world, we would have tackled #climatechange andâ€¦ https://t.co/KNAepmVIop",KAZI OMAR | Technologically Challenged,itsOfficialTC,United Kingdom,ðŸ‡¬ðŸ‡§ ðŸ‡§ðŸ‡© Welcome to Technologically Challenged! Your go-to @YouTube Channel for everything tech!,219,75,FALSE,12/1/2019 19:32
RT @FoundationVeer: RT unhabitatyouth: RT RobertMgendi: So what is #climateAction? It is leveraging challenges that #climateChange presentsâ€¦,Dr. Richard Munang,RichardMunang,Kenya,@UNEP Innovation Award Winner; Book Author: Making #Africa Work through the Power of #innovativevolunteerism; OPINIONS are MINE and NOT my organization's,20192,22139,FALSE,12/1/2019 19:32
"RT @DanyalGilani: As Co2 reaches highest level in 3 million years, whales can help control global warming. 1 great whale absorbs 33,000 kgâ€¦",Sajid Ali,ali_iasan,UAE,Marketing interence level is very hard to survive in the market. Looking for better solution.,25,57,FALSE,12/1/2019 19:32
"RT @NamugerwaLeah: East Africa is my region.
Watch how floods are affecting us.
Floods  are adding on other extreme weather events that havâ€¦",C.Marcy42,Cmarcy42,Uganda,"God's child,   Heir of Gold 
#Leo ðŸ‘‘",4457,5000,FALSE,12/1/2019 19:32
"RT @RebeccaH2020: Did you know:
ðŸ‹ One Whale Is Worth Thousands of Trees in Climate Fight
Great whales are the carbon-capture titans of theâ€¦",Jenifer Campbell,jmadcamp,United States,"Mother, wife, lover of dogs, flowers, art. Chronic illness warrior. #ClimateCrisis is our existential threat. #VoteBlueWave to save our democracy & the planet!",88,456,FALSE,12/1/2019 19:32
"RT @nml423: There are plenty of false narratives around the #AmazonFires but the truth is that the fires are still burning, and our glacierâ€¦",Rebecca0517,RebeccaV0517,United States,ally ðŸŒˆâ„ï¸ðŸŒŠ,66,315,FALSE,12/1/2019 19:32
RT @BiologistDan: Take 1:30 minutes out of your life and watch the Arctic Sea ice disappear over the last 35 years. This is #ClimateChange.â€¦,Middle Molly: If the Dems nominate a FRUIT FLY-,MiddleMolly,United States,"I will vote for it. It will be better than Trump. I â¤ï¸ life, people, dogs; strugglers. DT is an insane horror!USN vet wife, retird teachr, new Grandma. #Resist!",11310,12415,FALSE,12/1/2019 19:31
